,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2020-03-16,239.64265349880517,-14159.432866045006,12661.466412240301,239.64265349880517,239.64265349880517,-910.7949801514403,-910.7949801514403,-910.7949801514403,-910.7949801514403,-910.7949801514403,-910.7949801514403,0.0,0.0,0.0,-671.1523266526351
55,2020-03-17,256.626577666136,-13557.778030468597,14335.85466582133,256.626577666136,256.626577666136,-949.2793479595676,-949.2793479595676,-949.2793479595676,-949.2793479595676,-949.2793479595676,-949.2793479595676,0.0,0.0,0.0,-692.6527702934317
56,2020-03-18,273.6105018334669,-14780.812121824949,12157.872188148653,273.6105018334669,273.6105018334669,-986.0768442749404,-986.0768442749404,-986.0768442749404,-986.0768442749404,-986.0768442749404,-986.0768442749404,0.0,0.0,0.0,-712.4663424414734
57,2020-03-19,290.5944260007979,-13731.95011734054,13433.717232144361,290.5944260007979,290.5944260007979,-93.46433074330336,-93.46433074330336,-93.46433074330336,-93.46433074330336,-93.46433074330336,-93.46433074330336,0.0,0.0,0.0,197.13009525749453
58,2020-03-20,307.59128258887176,-13467.875413160467,14923.152118395705,307.59128258887176,307.59128258887176,397.73226242452364,397.73226242452364,397.73226242452364,397.73226242452364,397.73226242452364,397.73226242452364,0.0,0.0,0.0,705.3235450133955
59,2020-03-21,324.58813917694573,-12099.879124763065,14494.20598690086,324.58813917694573,324.58813917694573,1216.5272895235294,1216.5272895235294,1216.5272895235294,1216.5272895235294,1216.5272895235294,1216.5272895235294,0.0,0.0,0.0,1541.1154287004751
60,2020-03-22,341.5849957650197,-12391.403313656005,16174.890376082572,341.5849957650197,341.5849957650197,1325.3559511850221,1325.3559511850221,1325.3559511850221,1325.3559511850221,1325.3559511850221,1325.3559511850221,0.0,0.0,0.0,1666.940946950042
61,2020-03-23,358.58185235309367,-14474.99722843075,13207.25411755041,358.58185235309367,358.58185235309367,-910.7949801521412,-910.7949801521412,-910.7949801521412,-910.7949801521412,-910.7949801521412,-910.7949801521412,0.0,0.0,0.0,-552.2131277990475
62,2020-03-24,375.57870894116763,-14000.535244086655,12868.311629758711,375.57870894116763,375.57870894116763,-949.2793479601706,-949.2793479601706,-949.2793479601706,-949.2793479601706,-949.2793479601706,-949.2793479601706,0.0,0.0,0.0,-573.700639019003
63,2020-03-25,392.57556552924166,-14580.52308734373,13534.354771781751,392.57556552924166,392.57556552924166,-986.0768442783697,-986.0768442783697,-986.0768442783697,-986.0768442783697,-986.0768442783697,-986.0768442783697,0.0,0.0,0.0,-593.501278749128
64,2020-03-26,409.5994361967699,-13981.418235129437,14460.833465196678,409.59943619676983,409.59943619676983,-93.46433074579755,-93.46433074579755,-93.46433074579755,-93.46433074579755,-93.46433074579755,-93.46433074579755,0.0,0.0,0.0,316.13510545097233
65,2020-03-27,426.6233068642982,-13170.632960370554,14571.198032779754,426.6233068642982,426.6233068642982,397.73226242580586,397.73226242580586,397.73226242580586,397.73226242580586,397.73226242580586,397.73226242580586,0.0,0.0,0.0,824.3555692901041
66,2020-03-28,443.64717753182646,-12190.923766193264,15023.418466085464,443.64717753182646,443.64717753182646,1216.5272895234739,1216.5272895234739,1216.5272895234739,1216.5272895234739,1216.5272895234739,1216.5272895234739,0.0,0.0,0.0,1660.1744670553003
67,2020-03-29,460.67104819935474,-11531.592792940626,15203.593448288206,460.67104819935474,460.67104819935474,1325.3559511844387,1325.3559511844387,1325.3559511844387,1325.3559511844387,1325.3559511844387,1325.3559511844387,0.0,0.0,0.0,1786.0269993837935
68,2020-03-30,477.69491886688303,-14577.360968610164,13478.612126744743,477.69491886688303,477.69491886688303,-910.7949801539078,-910.7949801539078,-910.7949801539078,-910.7949801539078,-910.7949801539078,-910.7949801539078,0.0,0.0,0.0,-433.10006128702474
69,2020-03-31,494.71878953441126,-15021.183513816286,12290.404479773824,494.71878953441126,494.71878953441126,-949.2793479602066,-949.2793479602066,-949.2793479602066,-949.2793479602066,-949.2793479602066,-949.2793479602066,0.0,0.0,0.0,-454.5605584257953
70,2020-04-01,512.9767887434674,-13397.877820618334,12571.235448952002,512.9767887434674,512.9767887434674,-986.0768442775205,-986.0768442775205,-986.0768442775205,-986.0768442775205,-986.0768442775205,-986.0768442775205,0.0,0.0,0.0,-473.1000555340531
71,2020-04-02,531.2347879525238,-13491.98263230201,14415.77455447526,531.2347879525238,531.2347879525238,-93.4643307437715,-93.4643307437715,-93.4643307437715,-93.4643307437715,-93.4643307437715,-93.4643307437715,0.0,0.0,0.0,437.7704572087523
72,2020-04-03,549.4927871615798,-11750.945174570745,13901.921125260484,549.4927871615798,549.4927871615798,397.732262424591,397.732262424591,397.732262424591,397.732262424591,397.732262424591,397.732262424591,0.0,0.0,0.0,947.2250495861708
73,2020-04-04,567.7507863706359,-11801.946137573445,15137.147345462043,567.7507863706359,567.7507863706359,1216.527289520918,1216.527289520918,1216.527289520918,1216.527289520918,1216.527289520918,1216.527289520918,0.0,0.0,0.0,1784.2780758915537
74,2020-04-05,586.0087855796907,-11004.788053856737,15056.554045856543,586.0087855796907,586.0087855796907,1325.3559511874587,1325.3559511874587,1325.3559511874587,1325.3559511874587,1325.3559511874587,1325.3559511874587,0.0,0.0,0.0,1911.3647367671492
75,2020-04-06,697.1956660093999,-14361.079148508114,13539.180669837533,697.1956660093999,697.1956660093999,-910.7949801546088,-910.7949801546088,-910.7949801546088,-910.7949801546088,-910.7949801546088,-910.7949801546088,0.0,0.0,0.0,-213.59931414520884
76,2020-04-07,808.3825464391093,-14590.922137705144,13060.98179959207,808.3825464391093,808.3825464391093,-949.2793479602312,-949.2793479602312,-949.2793479602312,-949.2793479602312,-949.2793479602312,-949.2793479602312,0.0,0.0,0.0,-140.89680152112192
77,2020-04-08,919.5694268688175,-13200.983847372027,13541.152472887847,919.5694268688175,919.5694268688175,-986.076844276671,-986.076844276671,-986.076844276671,-986.076844276671,-986.076844276671,-986.076844276671,0.0,0.0,0.0,-66.5074174078535
78,2020-04-09,1030.7563072985267,-13038.919389392911,15109.610410685178,1030.7563072985267,1030.7563072985267,-93.46433074400558,-93.46433074400558,-93.46433074400558,-93.46433074400558,-93.46433074400558,-93.46433074400558,0.0,0.0,0.0,937.2919765545212
79,2020-04-10,1141.943187728235,-12494.951974145299,14485.75050373888,1141.943187728235,1141.943187728235,397.73226242837086,397.73226242837086,397.73226242837086,397.73226242837086,397.73226242837086,397.73226242837086,0.0,0.0,0.0,1539.6754501566058
80,2020-04-11,1253.1300681579469,-10493.021852204198,16856.010058219836,1253.1300681579469,1253.1300681579469,1216.527289523102,1216.527289523102,1216.527289523102,1216.527289523102,1216.527289523102,1216.527289523102,0.0,0.0,0.0,2469.657357681049
