,ds,trend
147,2020-06-17,8270202.978389375
148,2020-06-18,8454616.816436505
149,2020-06-19,8639030.654483631
150,2020-06-20,8823444.492530761
151,2020-06-21,9007858.330577891
152,2020-06-22,9192272.168625018
153,2020-06-23,9376686.00667215
154,2020-06-24,9561099.844719276
155,2020-06-25,9745513.682766406
156,2020-06-26,9929927.520813528
157,2020-06-27,10114341.358860658
158,2020-06-28,10298755.196907789
159,2020-06-29,10483169.034954917
160,2020-06-30,10667582.873002043
161,2020-07-01,10851996.711049177
162,2020-07-02,11036410.549096303
163,2020-07-03,11220824.38714343
164,2020-07-04,11405238.225190558
165,2020-07-05,11589652.063237684
166,2020-07-06,11774065.901284818
167,2020-07-07,11958479.739331944
168,2020-07-08,12142893.57737907
169,2020-07-09,12327307.415426198
170,2020-07-10,12511721.25347333
171,2020-07-11,12696135.091520458
172,2020-07-12,12880548.929567585
173,2020-07-13,13064962.767614719
174,2020-07-14,13249376.605661845
175,2020-07-15,13433790.443708971
176,2020-07-16,13618204.2817561
177,2020-07-17,13802618.119803231
178,2020-07-18,13987031.957850352
179,2020-07-19,14171445.795897486
180,2020-07-20,14355859.63394462
181,2020-07-21,14540273.471991746
182,2020-07-22,14724687.310038866
183,2020-07-23,14909101.148086
184,2020-07-24,15093514.986133127
185,2020-07-25,15277928.82418026
186,2020-07-26,15462342.662227381
187,2020-07-27,15646756.500274513
188,2020-07-28,15831170.338321641
189,2020-07-29,16015584.176368773
190,2020-07-30,16199998.014415901
191,2020-07-31,16384411.852463027
192,2020-08-01,16568825.690510154
193,2020-08-02,16753239.528557288
194,2020-08-03,16937653.366604414
195,2020-08-04,17122067.204651535
196,2020-08-05,17306481.042698666
197,2020-08-06,17490894.880745795
198,2020-08-07,17675308.71879293
199,2020-08-08,17859722.556840055
200,2020-08-09,18044136.394887183
201,2020-08-10,18228550.232934307
202,2020-08-11,18412964.070981443
203,2020-08-12,18597377.909028567
204,2020-08-13,18781791.747075696
205,2020-08-14,18966205.585122824
206,2020-08-15,19150619.423169956
207,2020-08-16,19335033.261217084
208,2020-08-17,19519447.099264216
209,2020-08-18,19703860.937311336
210,2020-08-19,19888274.775358472
211,2020-08-20,20072688.613405596
212,2020-08-21,20257102.451452732
213,2020-08-22,20441516.28949985
214,2020-08-23,20625930.127546977
215,2020-08-24,20810343.96559411
216,2020-08-25,20994757.803641237
217,2020-08-26,21179171.641688373
218,2020-08-27,21363585.47973549
219,2020-08-28,21547999.317782626
220,2020-08-29,21732413.15582975
221,2020-08-30,21916826.993876886
222,2020-08-31,22101240.831924006
223,2020-09-01,22285654.66997114
224,2020-09-02,22470068.508018266
225,2020-09-03,22654482.3460654
226,2020-09-04,22838896.18411252
227,2020-09-05,23023310.022159647
228,2020-09-06,23207723.86020678
229,2020-09-07,23392137.698253907
230,2020-09-08,23576551.53630104
231,2020-09-09,23760965.37434816
232,2020-09-10,23945379.21239529
233,2020-09-11,24129793.05044242
234,2020-09-12,24314206.88848955
235,2020-09-13,24498620.726536673
236,2020-09-14,24683034.56458381
237,2020-09-15,24867448.402630933
238,2020-09-16,25051862.24067807
239,2020-09-17,25236276.078725193
240,2020-09-18,25420689.91677232
241,2020-09-19,25605103.75481945
242,2020-09-20,25789517.59286658
243,2020-09-21,25973931.43091371
244,2020-09-22,26158345.26896083
245,2020-09-23,26342759.10700796
246,2020-09-24,26527172.94505509
247,2020-09-25,26711586.78310222
248,2020-09-26,26896000.62114935
249,2020-09-27,27080414.459196474
250,2020-09-28,27264828.297243603
251,2020-09-29,27449242.135290734
252,2020-09-30,27633655.973337863
253,2020-10-01,27818069.81138499
254,2020-10-02,28002483.649432115
255,2020-10-03,28186897.48747925
256,2020-10-04,28371311.325526375
257,2020-10-05,28555725.16357351
258,2020-10-06,28740139.00162063
259,2020-10-07,28924552.839667764
260,2020-10-08,29108966.67771489
261,2020-10-09,29293380.515762024
262,2020-10-10,29477794.353809144
263,2020-10-11,29662208.191856273
264,2020-10-12,29846622.029903404
265,2020-10-13,30031035.867950533
266,2020-10-14,30215449.705997664
267,2020-10-15,30399863.544044785
268,2020-10-16,30584277.382091917
269,2020-10-17,30768691.220139045
