,ds,trend
156,2020-06-26,545494.9316096933
157,2020-06-27,565990.7295505307
158,2020-06-28,586486.5274913677
159,2020-06-29,606982.3254322051
160,2020-06-30,627478.123373042
161,2020-07-01,647973.9213138799
162,2020-07-02,668469.7192547173
163,2020-07-03,688965.5171955543
164,2020-07-04,709461.3151363917
165,2020-07-05,729957.1130772287
166,2020-07-06,750452.9110180661
167,2020-07-07,770948.7089589034
168,2020-07-08,791444.5068997409
169,2020-07-09,811940.3048405779
170,2020-07-10,832436.1027814153
171,2020-07-11,852931.9007222527
172,2020-07-12,873427.6986630901
173,2020-07-13,893923.4966039276
174,2020-07-14,914419.2945447644
175,2020-07-15,934915.0924856019
176,2020-07-16,955410.8904264389
177,2020-07-17,975906.6883672768
178,2020-07-18,996402.4863081137
179,2020-07-19,1016898.2842489511
180,2020-07-20,1037394.0821897886
181,2020-07-21,1057889.880130626
182,2020-07-22,1078385.678071463
183,2020-07-23,1098881.4760123002
184,2020-07-24,1119377.2739531377
185,2020-07-25,1139873.0718939751
186,2020-07-26,1160368.8698348117
187,2020-07-27,1180864.6677756496
188,2020-07-28,1201360.465716487
189,2020-07-29,1221856.2636573245
190,2020-07-30,1242352.061598162
191,2020-07-31,1262847.8595389982
192,2020-08-01,1283343.6574798361
193,2020-08-02,1303839.4554206736
194,2020-08-03,1324335.253361511
195,2020-08-04,1344831.0513023476
196,2020-08-05,1365326.849243185
197,2020-08-06,1385822.6471840222
198,2020-08-07,1406318.4451248602
199,2020-08-08,1426814.2430656976
200,2020-08-09,1447310.0410065341
201,2020-08-10,1467805.8389473716
202,2020-08-11,1488301.636888209
203,2020-08-12,1508797.4348290465
204,2020-08-13,1529293.2327698832
205,2020-08-14,1549789.0307107207
206,2020-08-15,1570284.8286515581
207,2020-08-16,1590780.6265923956
208,2020-08-17,1611276.424533233
209,2020-08-18,1631772.22247407
210,2020-08-19,1652268.0204149075
211,2020-08-20,1672763.8183557447
212,2020-08-21,1693259.6162965822
213,2020-08-22,1713755.4142374191
214,2020-08-23,1734251.2121782566
215,2020-08-24,1754747.010119094
216,2020-08-25,1775242.8080599315
217,2020-08-26,1795738.606000769
218,2020-08-27,1816234.4039416057
219,2020-08-28,1836730.2018824432
220,2020-08-29,1857225.9998232806
221,2020-08-30,1877721.797764118
222,2020-08-31,1898217.5957049546
223,2020-09-01,1918713.393645792
224,2020-09-02,1939209.1915866295
225,2020-09-03,1959704.9895274667
226,2020-09-04,1980200.7874683042
227,2020-09-05,2000696.5854091416
228,2020-09-06,2021192.383349979
229,2020-09-07,2041688.1812908165
230,2020-09-08,2062183.979231654
231,2020-09-09,2082679.7771724905
232,2020-09-10,2103175.5751133277
233,2020-09-11,2123671.3730541654
234,2020-09-12,2144167.1709950026
235,2020-09-13,2164662.968935839
236,2020-09-14,2185158.7668766766
237,2020-09-15,2205654.5648175147
238,2020-09-16,2226150.3627583524
239,2020-09-17,2246646.1606991896
240,2020-09-18,2267141.9586400264
241,2020-09-19,2287637.7565808636
242,2020-09-20,2308133.5545217013
243,2020-09-21,2328629.3524625385
244,2020-09-22,2349125.150403375
245,2020-09-23,2369620.9483442125
246,2020-09-24,2390116.7462850497
247,2020-09-25,2410612.5442258874
248,2020-09-26,2431108.3421667246
249,2020-09-27,2451604.1401075623
250,2020-09-28,2472099.9380483995
251,2020-09-29,2492595.7359892367
252,2020-09-30,2513091.5339300744
253,2020-10-01,2533587.3318709107
254,2020-10-02,2554083.1298117484
255,2020-10-03,2574578.9277525856
256,2020-10-04,2595074.725693423
257,2020-10-05,2615570.5236342605
258,2020-10-06,2636066.3215750977
259,2020-10-07,2656562.1195159354
260,2020-10-08,2677057.9174567726
261,2020-10-09,2697553.7153976103
262,2020-10-10,2718049.5133384466
263,2020-10-11,2738545.311279284
264,2020-10-12,2759041.1092201215
265,2020-10-13,2779536.9071609587
266,2020-10-14,2800032.7051017964
267,2020-10-15,2820528.5030426327
268,2020-10-16,2841024.3009834704
269,2020-10-17,2861520.0989243085
